,date,key,cum_hospitalized,cum_icu,cum_on_ventilator,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,new_diagnoses,new_negatives,new_tests,new_deaths,new_hospitalized,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,day,new_icu,num_on_ventilator
5779,2020-03-04,CA,,,,,,,,,515,,,,0,0,0,0,0,0,0,0,0,0,,0,,
5755,2020-03-05,CA,,,,,,,,,515,,,,0,0,0,0,0,0,0,0,0,0,,1,,
5721,2020-03-06,CA,,,,,,,,,522,,,,7,0,7,0,0,0,0,0,0,0,,2,,
5672,2020-03-07,CA,,,,,,,,,531,,,,9,0,9,0,0,0,0,0,0,0,,3,,
5622,2020-03-08,CA,,,,,,,,,550,,,,19,0,19,0,0,0,0,0,0,0,,4,,
5572,2020-03-09,CA,,,,,,,,,804,,,,26,228,254,0,0,0,0,0,0,0,,5,,
5522,2020-03-10,CA,,,,,,,,,823,,,,19,0,19,0,0,0,0,0,0,0,,6,,
5472,2020-03-11,CA,,,,,,,,,1073,,,,24,226,250,0,0,0,0,0,0,0,,7,,
5421,2020-03-12,CA,,,,,3/12/2020 10:00,2020-03-12T10:00:00Z,03/12 06:00,4,1118,,,,45,0,45,4,0,0,0,0,0,0,,8,,
5370,2020-03-13,CA,,,,,3/12/2020 10:00,2020-03-12T10:00:00Z,03/12 06:00,4,1118,,,,0,0,0,0,0,0,0,0,0,0,,9,,
5319,2020-03-14,CA,,,,,3/13/2020 11:00,2020-03-13T11:00:00Z,03/13 07:00,5,1168,,,,50,0,50,1,0,0,0,0,0,0,,10,,
5268,2020-03-15,CA,,,,,3/14/2020 11:00,2020-03-14T11:00:00Z,03/14 07:00,5,1209,,,,41,0,41,0,0,0,0,0,0,0,,11,,
5213,2020-03-16,CA,,,,,3/16/2020 15:10,2020-03-16T15:10:00Z,03/16 11:10,6,8316,,,,42,7065,7107,1,0,0,0,0,0,0,,12,,
5157,2020-03-17,CA,,,,,3/16/2020 21:00,2020-03-16T21:00:00Z,03/16 17:00,11,8464,,,,148,0,148,5,0,0,0,0,0,0,,13,,
5101,2020-03-18,CA,,,,,3/17/2020 21:00,2020-03-17T21:00:00Z,03/17 17:00,13,8592,,,,128,0,128,2,0,0,0,0,0,0,,14,,
5045,2020-03-19,CA,,,,,3/19/2020 14:25,2020-03-19T14:25:00Z,03/19 10:25,18,9711,,,,313,806,1119,5,0,0,0,0,0,0,,15,,
4989,2020-03-20,CA,,,,,3/20/2020 14:41,2020-03-20T14:41:00Z,03/20 10:41,20,11487,,,,139,1637,1776,2,0,0,0,0,0,0,,16,,
4933,2020-03-21,CA,,,,,3/21/2020 00:00,2020-03-21T00:00:00Z,03/20 20:00,24,12528,,,,216,825,1041,4,0,0,0,0,0,0,,17,,
4877,2020-03-22,CA,,,,,3/22/2020 13:34,2020-03-22T13:34:00Z,03/22 09:34,27,12840,,,,257,55,312,3,0,0,0,0,0,0,,18,,
4821,2020-03-23,CA,,,,B,3/23/2020 00:00,2020-03-23T00:00:00Z,03/22 20:00,27,14300,,,,197,1263,1460,0,0,0,0,0,0,0,,19,,
4765,2020-03-24,CA,,,,B,3/24/2020 00:00,2020-03-24T00:00:00Z,03/23 20:00,40,15554,,,,369,885,1254,13,0,0,0,0,0,0,,20,,
4709,2020-03-25,CA,,,,B,3/24/2020 00:00,2020-03-24T00:00:00Z,03/23 20:00,53,18276,,,,253,2469,2722,13,0,0,0,0,0,0,,21,,
4653,2020-03-26,CA,,,,B,3/25/2020 17:00,2020-03-25T17:00:00Z,03/25 13:00,65,20386,,,,651,1459,2110,12,0,0,0,0,0,0,,22,,
4597,2020-03-27,CA,,,,B,3/27/2020 00:00,2020-03-27T00:00:00Z,03/26 20:00,78,21259,,,,873,0,873,13,0,0,0,0,0,0,,23,,
4541,2020-03-28,CA,,,,B,3/27/2020 17:00,2020-03-27T17:00:00Z,03/27 13:00,101,25192,,,,764,3169,3933,23,0,0,0,0,0,0,,24,,
4485,2020-03-29,CA,,,,B,3/29/2020 14:18,2020-03-29T14:18:00Z,03/29 10:18,123,26257,,,,1065,0,1065,22,0,0,0,0,0,0,,25,,
4429,2020-03-30,CA,,,,B,3/30/2020 00:00,2020-03-30T00:00:00Z,03/29 20:00,133,26996,,,,739,0,739,10,0,0,0,0,0,0,,26,,
4373,2020-03-31,CA,,,,B,3/31/2020 16:00,2020-03-31T16:00:00Z,03/31 12:00,153,29254,,,,1035,1223,2258,20,0,0,0,0,0,0,,27,,
4317,2020-04-01,CA,,,,B,3/31/2020 00:00,2020-03-31T00:00:00Z,03/30 20:00,171,29927,,,,673,0,673,18,0,0,0,0,0,0,,28,,
4261,2020-04-02,CA,,,,B,4/2/2020 00:00,2020-04-02T00:00:00Z,04/01 20:00,203,33000,,,,1036,2037,3073,32,0,0,0,0,0,0,,29,,
4205,2020-04-03,CA,,,,B,4/2/2020 00:00,2020-04-02T00:00:00Z,04/01 20:00,237,35300,,,,1510,790,2300,34,0,0,0,0,0,0,,30,,
4149,2020-04-04,CA,,,,B,4/2/2020 00:00,2020-04-02T00:00:00Z,04/01 20:00,276,113700,,,,1325,7075,8400,39,0,0,0,0,0,0,,31,,
4093,2020-04-05,CA,,,,B,4/4/2020 00:00,2020-04-04T00:00:00Z,04/03 20:00,319,116533,,,,1412,1421,2833,43,0,0,0,0,0,0,,32,,
4037,2020-04-06,CA,,,,B,4/6/2020 00:00,2020-04-06T00:00:00Z,04/05 20:00,343,117431,,,,898,0,898,24,0,0,0,0,0,0,,33,,
3981,2020-04-07,CA,,,,B,4/7/2020 18:00,2020-04-07T18:00:00Z,04/07 14:00,374,131229,,,,1529,12269,13798,31,0,0,0,0,0,0,,34,,
3925,2020-04-08,CA,,,,B,4/7/2020 18:00,2020-04-07T18:00:00Z,04/07 14:00,442,144264,,,,1092,11943,13035,68,0,0,0,0,0,0,,35,,
3869,2020-04-09,CA,,,,B,4/8/2020 19:00,2020-04-08T19:00:00Z,04/08 15:00,492,163500,,,,1352,17884,19236,50,0,0,0,0,0,0,,36,,
3813,2020-04-10,CA,,,,B,4/9/2020 00:00,2020-04-09T00:00:00Z,04/08 20:00,541,164863,,,,1163,200,1363,49,0,0,0,0,0,0,,37,,
3757,2020-04-11,CA,,,,B,4/9/2020 00:00,2020-04-09T00:00:00Z,04/08 20:00,609,173219,,,,1143,7213,8356,68,0,0,0,0,0,0,,38,,
3701,2020-04-12,CA,,,,B,4/11/2020 00:00,2020-04-11T00:00:00Z,04/10 20:00,651,190328,,,,1179,15930,17109,42,0,0,0,0,0,0,,39,,
3645,2020-04-13,CA,,,,B,4/12/2020 00:00,2020-04-12T00:00:00Z,04/11 20:00,687,190882,,,,554,0,554,36,0,0,0,0,0,0,,40,,
3589,2020-04-14,CA,,,,B,4/13/2020 00:00,2020-04-13T00:00:00Z,04/12 20:00,758,202208,,,,990,10336,11326,71,0,0,0,0,0,0,,41,,
3533,2020-04-15,CA,,,,B,4/14/2020 00:00,2020-04-14T00:00:00Z,04/13 20:00,821,216486,,,,1086,13192,14278,63,0,0,0,0,0,0,,42,,
3477,2020-04-16,CA,,,,B,4/15/2020 00:00,2020-04-15T00:00:00Z,04/14 20:00,890,246400,,,,1758,28156,29914,69,0,0,0,0,0,0,,43,,
3421,2020-04-17,CA,,,,B,4/17/2020 00:00,2020-04-17T00:00:00Z,04/16 20:00,985,251614,,,,1346,3868,5214,95,0,0,0,0,0,0,,44,,
3365,2020-04-18,CA,,,,B,4/17/2020 00:00,2020-04-17T00:00:00Z,04/16 20:00,1072,259666,,,,1435,6617,8052,87,0,0,0,0,0,0,,45,,
3309,2020-04-19,CA,,,,B,4/18/2020 00:00,2020-04-18T00:00:00Z,04/17 20:00,1166,280900,,,,1370,19864,21234,94,0,0,0,0,0,0,,46,,
3253,2020-04-20,CA,,,,B,4/19/2020 00:00,2020-04-19T00:00:00Z,04/18 20:00,1208,290500,,,,645,8955,9600,42,0,0,0,0,0,0,,47,,
3197,2020-04-21,CA,,,,B,4/21/2020 00:00,2020-04-21T00:00:00Z,04/20 20:00,1268,300100,,,,2283,7317,9600,60,0,0,0,0,0,0,,48,,
3141,2020-04-22,CA,,,,B,4/21/2020 00:00,2020-04-21T00:00:00Z,04/20 20:00,1354,465327,,,,2135,13092,15227,86,0,0,0,0,0,0,,49,,
3085,2020-04-23,CA,,,,B,4/22/2020 00:00,2020-04-22T00:00:00Z,04/21 20:00,1469,482097,,,,1973,14797,16770,115,0,0,0,0,0,0,,50,,
3029,2020-04-24,CA,,,,B,4/23/2020 00:00,2020-04-23T00:00:00Z,04/22 20:00,1562,494173,,,,1885,10191,12076,93,0,0,0,0,0,0,,51,,
2973,2020-04-25,CA,,,,B,4/23/2020 00:00,2020-04-23T00:00:00Z,04/22 20:00,1651,506035,,,,1883,9979,11862,89,0,0,0,0,0,0,,52,,
2917,2020-04-26,CA,,,,B,4/25/2020 00:00,2020-04-25T00:00:00Z,04/24 20:00,1710,526084,,,,1027,19022,20049,59,0,0,0,0,0,0,,53,,
2861,2020-04-27,CA,,,,B,4/27/2020 00:00,2020-04-27T00:00:00Z,04/26 20:00,1755,553409,,,,1300,26025,27325,45,0,0,0,0,0,0,,54,,
2805,2020-04-28,CA,,,,B,4/27/2020 00:00,2020-04-27T00:00:00Z,04/26 20:00,1809,577608,,,,1567,22632,24199,54,0,0,0,0,0,0,,55,,
2749,2020-04-29,CA,,,,B,4/29/2020 00:00,2020-04-29T00:00:00Z,04/28 20:00,1887,603139,,,46500,1469,24062,25531,78,0,0,0,0,0,0,,56,,
2693,2020-04-30,CA,,,,B,4/29/2020 00:00,2020-04-29T00:00:00Z,04/28 20:00,1982,625337,,,48917,2417,19781,22198,95,0,0,0,0,0,0,,57,,
2637,2020-05-01,CA,,,,B,4/30/2020 00:00,2020-04-30T00:00:00Z,04/29 20:00,2073,654985,,,50442,1525,28123,29648,91,0,0,0,0,0,0,,58,,
2581,2020-05-02,CA,,,,B,5/1/2020 00:00,2020-05-01T00:00:00Z,04/30 20:00,2171,685048,,,52197,1755,30063,31818,98,0,0,0,0,0,0,,59,,
2525,2020-05-03,CA,,,,B,5/3/2020 14:00,2020-05-03T14:00:00Z,05/03 10:00,2215,715751,,,53616,1419,27529,28948,44,0,0,0,0,0,0,,60,,
2469,2020-05-04,CA,,,,B,5/4/2020 14:00,2020-05-04T14:00:00Z,05/04 10:00,2254,747874,,,54937,1321,30802,32123,39,0,0,0,0,0,0,,61,,
2413,2020-05-05,CA,,,,B,5/5/2020 14:00,2020-05-05T14:00:00Z,05/05 10:00,2317,779902,,,56212,1275,30753,32028,63,0,0,0,0,0,0,,62,,
2357,2020-05-06,CA,,,,B,5/5/2020 14:00,2020-05-05T14:00:00Z,05/05 10:00,2412,809036,,,58815,2603,26531,29134,95,0,0,0,0,0,0,,63,,
