,date,key,cum_hospitalized,cum_icu,cum_on_ventilator,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,new_diagnoses,new_negatives,new_tests,new_deaths,new_hospitalized,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,day,new_icu,num_on_ventilator
6510,2020-03-04,IL,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,,
6488,2020-03-05,IL,,,,,,,,,,,,,1,41,42,0,0,0,0,0,0,0,,1,,
6456,2020-03-06,IL,,,,,,,,,,,,,0,15,15,0,0,0,0,0,0,0,,2,,
6410,2020-03-07,IL,,,,,,,,,,,,,1,11,12,0,0,0,0,0,0,0,,3,,
6360,2020-03-08,IL,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,4,,
6310,2020-03-09,IL,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,,5,,
6260,2020-03-10,IL,,,,,,,,,,,,,12,53,65,0,0,0,0,0,0,0,,6,,
6210,2020-03-11,IL,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,7,,
6159,2020-03-12,IL,,,,,3/11/2020 00:00,2020-03-11T00:00:00Z,03/10 20:00,,,,,,6,22,28,0,0,0,0,0,0,0,,8,,
6108,2020-03-13,IL,,,,,3/12/2020 00:00,2020-03-12T00:00:00Z,03/11 20:00,,,,,,7,28,35,0,0,0,0,0,0,0,,9,,
6057,2020-03-14,IL,,,,,3/13/2020 00:00,2020-03-13T00:00:00Z,03/12 20:00,,,,,,14,22,36,0,0,0,0,0,0,0,,10,,
6006,2020-03-15,IL,,,,,3/14/2020 00:00,2020-03-14T00:00:00Z,03/13 20:00,,,,,,18,133,151,0,0,0,0,0,0,0,,11,,
5952,2020-03-16,IL,,,,,3/16/2020 15:43,2020-03-16T15:43:00Z,03/16 11:43,,,,,,29,483,512,0,0,0,0,0,0,0,,12,,
5896,2020-03-17,IL,,,,,3/16/2020 00:00,2020-03-16T00:00:00Z,03/15 20:00,1.0,,,,,66,408,474,1,0,0,0,0,0,0,,13,,
5840,2020-03-18,IL,,,,,3/18/2020 00:00,2020-03-18T00:00:00Z,03/17 20:00,1.0,,,,,129,423,552,0,0,0,0,0,0,0,,14,,
5784,2020-03-19,IL,,,,,3/19/2020 00:00,2020-03-19T00:00:00Z,03/18 20:00,4.0,,,,,134,962,1096,3,0,0,0,0,0,0,,15,,
5728,2020-03-20,IL,,,,,3/20/2020 00:00,2020-03-20T00:00:00Z,03/19 20:00,5.0,,,,,163,971,1134,1,0,0,0,0,0,0,,16,,
5672,2020-03-21,IL,,,,,3/21/2020 00:00,2020-03-21T00:00:00Z,03/20 20:00,6.0,,,,,168,1792,1960,1,0,0,0,0,0,0,,17,,
5616,2020-03-22,IL,,,,,3/22/2020 00:00,2020-03-22T00:00:00Z,03/21 20:00,9.0,,,,,296,1783,2079,3,0,0,0,0,0,0,,18,,
5560,2020-03-23,IL,,,,A,3/23/2020 00:00,2020-03-23T00:00:00Z,03/22 20:00,12.0,,,,,224,1312,1536,3,0,0,0,0,0,0,,19,,
5504,2020-03-24,IL,,,,A,3/24/2020 00:00,2020-03-24T00:00:00Z,03/23 20:00,16.0,,,,,262,1351,1613,4,0,0,0,0,0,0,,20,,
5448,2020-03-25,IL,,,,A,3/25/2020 00:00,2020-03-25T00:00:00Z,03/24 20:00,19.0,,,,,330,2410,2740,3,0,0,0,0,0,0,,21,,
5392,2020-03-26,IL,,,,A,3/26/2020 00:00,2020-03-26T00:00:00Z,03/25 20:00,26.0,,,,,673,1749,2422,7,0,0,0,0,0,0,,22,,
5336,2020-03-27,IL,,,,A,3/27/2020 00:00,2020-03-27T00:00:00Z,03/26 20:00,34.0,,,,,488,4423,4911,8,0,0,0,0,0,0,,23,,
