,date,key,cum_severe,cum_critical,cum_on_ventilator,dataQualityGrade,lastUpdateEt,death,new_deaths,new_severe,new_negatives,new_diagnoses,new_tests,day,new_critical,num_on_ventilator
4204,2020-03-12,MA,,,,,3/11/2020 00:00,,,,,,,0,,
4153,2020-03-13,MA,,,,,3/13/2020 16:00,,0.0,0.0,0.0,15.0,15.0,1,,
4102,2020-03-14,MA,,,,,3/14/2020 16:00,,0.0,0.0,0.0,15.0,15.0,2,,
4051,2020-03-15,MA,,,,,3/14/2020 16:00,,0.0,0.0,584.0,26.0,610.0,3,,
3997,2020-03-16,MA,,,,,3/16/2020 15:48,,0.0,0.0,615.0,33.0,648.0,4,,
3941,2020-03-17,MA,,,,,3/16/2020 16:00,,0.0,0.0,434.0,21.0,455.0,5,,
3885,2020-03-18,MA,,,,,3/18/2020 16:00,2.0,2.0,0.0,482.0,38.0,520.0,6,,
3829,2020-03-19,MA,,,,,3/19/2020 11:30,3.0,1.0,0.0,803.0,73.0,876.0,7,,
3773,2020-03-20,MA,,,,,3/20/2020 16:00,5.0,2.0,0.0,877.0,85.0,962.0,8,,
3717,2020-03-21,MA,61.0,,,,3/21/2020 16:00,7.0,2.0,61.0,1004.0,112.0,1116.0,9,,
3661,2020-03-22,MA,71.0,,,,3/22/2020 16:00,11.0,4.0,10.0,677.0,121.0,798.0,10,,
3605,2020-03-23,MA,79.0,,,B,3/23/2020 12:30,17.0,6.0,8.0,2787.0,131.0,2918.0,11,,
3549,2020-03-24,MA,94.0,,,B,3/24/2020 12:30,26.0,9.0,15.0,4451.0,382.0,4833.0,12,,
3493,2020-03-25,MA,103.0,,,B,3/25/2020 16:00,33.0,7.0,9.0,5365.0,679.0,6044.0,13,,
3437,2020-03-26,MA,219.0,,,B,3/26/2020 12:30,42.0,9.0,116.0,3248.0,579.0,3827.0,14,,
3381,2020-03-27,MA,219.0,,,B,3/27/2020 12:30,57.0,15.0,0.0,4917.0,833.0,5750.0,15,,
3325,2020-03-28,MA,350.0,,,B,3/27/2020 12:30,72.0,15.0,131.0,4671.0,1007.0,5678.0,16,,
3269,2020-03-29,MA,399.0,,,B,3/28/2020 12:30,99.0,27.0,49.0,3319.0,698.0,4017.0,17,,
3213,2020-03-30,MA,453.0,,,B,3/30/2020 16:15,124.0,25.0,54.0,2932.0,797.0,3729.0,18,,
3157,2020-03-31,MA,562.0,,,B,3/31/2020 12:30,153.0,29.0,109.0,3274.0,868.0,4142.0,19,,
3101,2020-04-01,MA,682.0,,,B,3/31/2020 12:30,187.0,34.0,120.0,3685.0,1118.0,4803.0,20,,
3045,2020-04-02,MA,813.0,,,B,4/2/2020 16:00,229.0,42.0,131.0,3642.0,1228.0,4870.0,21,,
2989,2020-04-03,MA,966.0,,,B,4/3/2020 12:30,265.0,36.0,153.0,4918.0,1436.0,6354.0,22,,
2933,2020-04-04,MA,1370.0,,,B,4/4/2020 12:30,304.0,39.0,404.0,4506.0,1334.0,5840.0,23,,
2877,2020-04-05,MA,1632.0,,,B,4/5/2020 12:30,370.0,66.0,262.0,2374.0,765.0,3139.0,24,,
2821,2020-04-06,MA,1667.0,,,B,4/6/2020 12:30,448.0,78.0,35.0,3155.0,1337.0,4492.0,25,,
2765,2020-04-07,MA,1831.0,,,B,4/7/2020 12:30,515.0,67.0,164.0,3550.0,1365.0,4915.0,26,,
2709,2020-04-08,MA,2119.0,,,B,4/8/2020 12:30,615.0,100.0,288.0,4579.0,1588.0,6167.0,27,,
2653,2020-04-09,MA,2302.0,,,B,4/9/2020 12:30,725.0,110.0,183.0,5297.0,2151.0,7448.0,28,,
2597,2020-04-10,MA,2435.0,,,B,4/10/2020 12:30,832.0,107.0,133.0,5418.0,2035.0,7453.0,29,,
2541,2020-04-11,MA,2507.0,,,B,4/11/2020 12:30,946.0,114.0,72.0,4551.0,1888.0,6439.0,30,,
2485,2020-04-12,MA,2514.0,,,B,4/12/2020 16:00,1056.0,110.0,7.0,5348.0,2615.0,7963.0,31,,
2429,2020-04-13,MA,3485.0,,,B,4/13/2020 10:00,1211.0,155.0,971.0,4037.0,1413.0,5450.0,32,,
2373,2020-04-14,MA,3616.0,,,B,4/14/2020 10:00,1329.0,118.0,131.0,3320.0,1315.0,4635.0,33,,
2317,2020-04-15,MA,3637.0,,,B,4/15/2020 10:00,1502.0,173.0,21.0,3970.0,1861.0,5831.0,34,,
2261,2020-04-16,MA,3726.0,,,B,4/16/2020 10:00,1667.0,165.0,89.0,7308.0,2522.0,9830.0,35,,
2205,2020-04-17,MA,3756.0,,,B,4/16/2020 10:00,1822.0,155.0,30.0,7097.0,2633.0,9730.0,36,,
2149,2020-04-18,MA,3728.0,,,B,4/17/2020 16:00,1983.0,161.0,-28.0,7409.0,2402.0,9811.0,37,,
