,date,key,cum_severe,cum_critical,cum_on_ventilator,dataQualityGrade,lastUpdateEt,death,new_deaths,new_severe,new_negatives,new_diagnoses,new_tests,day,new_critical,num_on_ventilator
4567,2020-03-01,MI,,,,,,,,,,,,0,,
4564,2020-03-02,MI,,,,,,,0.0,0.0,0.0,9.0,9.0,1,,
4561,2020-03-03,MI,,,,,,,0.0,0.0,0.0,16.0,16.0,2,,
4551,2020-03-04,MI,,,,,,,0.0,0.0,0.0,18.0,18.0,3,,
4530,2020-03-05,MI,,,,,,,0.0,0.0,8.0,20.0,28.0,4,,
4501,2020-03-06,MI,,,,,,,0.0,0.0,0.0,26.0,26.0,5,,
4457,2020-03-07,MI,,,,,,,0.0,0.0,10.0,30.0,40.0,6,,
4407,2020-03-08,MI,,,,,,,0.0,0.0,8.0,40.0,48.0,7,,
4357,2020-03-09,MI,,,,,,,0.0,0.0,10.0,86.0,96.0,8,,
4307,2020-03-10,MI,,,,,,,0.0,0.0,3.0,104.0,107.0,9,,
4257,2020-03-11,MI,,,,,,,0.0,0.0,18.0,139.0,157.0,10,,
4207,2020-03-12,MI,,,,,3/11/2020 19:00,,0.0,0.0,34.0,205.0,239.0,11,,
4156,2020-03-13,MI,,,,,3/13/2020 00:00,,0.0,0.0,42.0,243.0,285.0,12,,
4105,2020-03-14,MI,,,,,3/13/2020 00:00,,0.0,0.0,72.0,251.0,323.0,13,,
4054,2020-03-15,MI,,,,,3/14/2020 00:00,,0.0,0.0,0.0,284.0,284.0,14,,
4000,2020-03-16,MI,,,,,3/16/2020 15:52,,0.0,0.0,67.0,453.0,520.0,15,,
3944,2020-03-17,MI,,,,,3/17/2020 14:00,,0.0,0.0,354.0,460.0,814.0,16,,
3888,2020-03-18,MI,,,,,3/18/2020 14:00,,0.0,0.0,589.0,520.0,1109.0,17,,
3832,2020-03-19,MI,,,,,3/19/2020 15:00,3.0,3.0,0.0,570.0,479.0,1049.0,18,,
3776,2020-03-20,MI,,,,,3/20/2020 15:00,3.0,0.0,0.0,961.0,635.0,1596.0,19,,
3720,2020-03-21,MI,,,,,3/21/2020 13:44,5.0,2.0,0.0,950.0,516.0,1466.0,20,,
3664,2020-03-22,MI,,,,,3/22/2020 15:00,8.0,3.0,0.0,16.0,555.0,571.0,21,,
3608,2020-03-23,MI,,,,D,3/23/2020 11:00,15.0,7.0,0.0,985.0,691.0,1676.0,22,,
3552,2020-03-24,MI,,,,D,3/24/2020 11:00,24.0,9.0,0.0,1099.0,652.0,1751.0,23,,
3496,2020-03-25,MI,,,,D,3/25/2020 15:00,43.0,19.0,0.0,1741.0,619.0,2360.0,24,,
3440,2020-03-26,MI,,,,D,3/26/2020 11:00,60.0,17.0,0.0,2768.0,707.0,3475.0,25,,
3384,2020-03-27,MI,,,,B,3/27/2020 11:00,92.0,32.0,0.0,2334.0,892.0,3226.0,26,,
3328,2020-03-28,MI,,,,B,3/27/2020 16:00,92.0,0.0,0.0,1544.0,628.0,2172.0,27,,
3272,2020-03-29,MI,,,,B,3/28/2020 14:00,132.0,40.0,0.0,1493.0,723.0,2216.0,28,,
3216,2020-03-30,MI,,,,B,3/30/2020 16:00,184.0,52.0,0.0,5507.0,891.0,6398.0,29,,
3160,2020-03-31,MI,,,,B,3/31/2020 11:00,259.0,75.0,0.0,2796.0,974.0,3770.0,30,,
3104,2020-04-01,MI,,,,B,4/1/2020 16:00,337.0,78.0,0.0,3258.0,1013.0,4271.0,31,,
3048,2020-04-02,MI,,,,B,4/2/2020 11:00,417.0,80.0,0.0,3131.0,1229.0,4360.0,32,,
2992,2020-04-03,MI,,,,B,4/3/2020 11:00,479.0,62.0,0.0,3302.0,1135.0,4437.0,33,,
2936,2020-04-04,MI,,,,B,4/4/2020 11:00,540.0,61.0,0.0,3735.0,1143.0,4878.0,34,,
2880,2020-04-05,MI,,,,B,4/5/2020 11:00,617.0,77.0,0.0,2926.0,1172.0,4098.0,35,,
2824,2020-04-06,MI,,,,B,4/6/2020 11:00,727.0,110.0,0.0,2789.0,1283.0,4072.0,36,,
2768,2020-04-07,MI,,,,B,4/7/2020 11:00,845.0,118.0,0.0,2430.0,973.0,3403.0,37,,
2712,2020-04-08,MI,,,,B,4/8/2020 11:00,959.0,114.0,0.0,0.0,766.0,766.0,38,,
2656,2020-04-09,MI,,,,B,4/9/2020 11:00,1076.0,117.0,0.0,0.0,915.0,915.0,39,,
2600,2020-04-10,MI,,,,B,4/10/2020 11:00,1281.0,205.0,0.0,3711.0,1279.0,4990.0,40,,
2544,2020-04-11,MI,,,,B,4/11/2020 11:00,1392.0,111.0,0.0,2760.0,1210.0,3970.0,41,,
2488,2020-04-12,MI,,,,B,4/12/2020 11:00,1487.0,95.0,0.0,2778.0,645.0,3423.0,42,,
2432,2020-04-13,MI,,,,B,4/13/2020 11:00,1602.0,115.0,0.0,2210.0,997.0,3207.0,43,,
2376,2020-04-14,MI,,,,B,4/14/2020 11:00,1768.0,166.0,0.0,2216.0,1366.0,3582.0,44,,
2320,2020-04-15,MI,,,,B,4/15/2020 11:00,1921.0,153.0,0.0,2413.0,1058.0,3471.0,45,,
2264,2020-04-16,MI,,,,B,4/16/2020 11:00,2093.0,172.0,0.0,3385.0,1204.0,4589.0,46,,
2208,2020-04-17,MI,,,,B,4/17/2020 11:00,2227.0,134.0,0.0,3913.0,760.0,4673.0,47,,
2152,2020-04-18,MI,,,,B,4/18/2020 11:00,2308.0,81.0,0.0,0.0,768.0,768.0,48,,
2096,2020-04-19,MI,,,,B,4/19/2020 11:00,2391.0,83.0,0.0,9301.0,633.0,9934.0,49,,
2040,2020-04-20,MI,,,,B,4/20/2020 11:00,2468.0,77.0,0.0,3561.0,576.0,4137.0,50,,
1984,2020-04-21,MI,,,,B,4/21/2020 11:00,2700.0,232.0,0.0,2461.0,967.0,3428.0,51,,
1928,2020-04-22,MI,,,,B,4/22/2020 11:00,2813.0,113.0,0.0,0.0,999.0,999.0,52,,
1872,2020-04-23,MI,,,,B,4/23/2020 16:00,2977.0,164.0,0.0,8771.0,1325.0,10096.0,53,,
1816,2020-04-24,MI,,,,B,4/24/2020 11:00,3085.0,108.0,0.0,6625.0,1350.0,7975.0,54,,
1760,2020-04-25,MI,,,,A+,4/25/2020 11:00,3274.0,189.0,0.0,7186.0,562.0,7748.0,55,,
1704,2020-04-26,MI,,,,A+,4/26/2020 11:00,3315.0,41.0,0.0,6387.0,575.0,6962.0,56,,
1648,2020-04-27,MI,,,,A+,4/27/2020 11:00,3407.0,92.0,0.0,6322.0,432.0,6754.0,57,,
1592,2020-04-28,MI,,,,A+,4/28/2020 11:00,3567.0,160.0,0.0,5993.0,1052.0,7045.0,58,,
1536,2020-04-29,MI,,,,A+,4/29/2020 11:00,3670.0,103.0,0.0,6410.0,1137.0,7547.0,59,,
1480,2020-04-30,MI,,,,A+,4/30/2020 11:00,3789.0,119.0,0.0,6935.0,980.0,7915.0,60,,
1424,2020-05-01,MI,,,,A+,5/1/2020 11:00,3866.0,77.0,0.0,9261.0,977.0,10238.0,61,,
1368,2020-05-02,MI,,,,A+,5/2/2020 11:00,4020.0,154.0,0.0,10353.0,851.0,11204.0,62,,
1312,2020-05-03,MI,,,,A+,5/3/2020 11:00,4049.0,29.0,0.0,10276.0,547.0,10823.0,63,,
1256,2020-05-04,MI,,,,A+,5/3/2020 11:00,4049.0,0.0,0.0,9661.0,196.0,9857.0,64,,
1200,2020-05-05,MI,,,,A+,5/5/2020 11:00,4179.0,130.0,0.0,0.0,447.0,447.0,65,,
1144,2020-05-06,MI,,,,A+,5/6/2020 11:00,4250.0,71.0,0.0,9738.0,657.0,10395.0,66,,
1088,2020-05-07,MI,,,,A+,5/7/2020 11:00,4343.0,93.0,0.0,13239.0,592.0,13831.0,67,,
1032,2020-05-08,MI,,,,A+,5/8/2020 11:00,4393.0,50.0,0.0,12511.0,680.0,13191.0,68,,
976,2020-05-09,MI,,,,A+,5/9/2020 11:00,4526.0,133.0,0.0,12803.0,430.0,13233.0,69,,
920,2020-05-10,MI,,,,A+,5/10/2020 11:00,4551.0,25.0,0.0,11810.0,382.0,12192.0,70,,
864,2020-05-11,MI,,,,A+,5/11/2020 11:00,4584.0,33.0,0.0,12856.0,414.0,13270.0,71,,
808,2020-05-12,MI,,,,A+,5/12/2020 11:00,4674.0,90.0,0.0,8473.0,469.0,8942.0,72,,
752,2020-05-13,MI,,,,A+,5/13/2020 11:00,4714.0,40.0,0.0,0.0,370.0,370.0,73,,
696,2020-05-14,MI,,,,A+,5/14/2020 11:00,4787.0,73.0,0.0,26432.0,1191.0,27623.0,74,,
640,2020-05-15,MI,,,,A+,5/14/2020 11:00,4825.0,38.0,0.0,21116.0,497.0,21613.0,75,,
584,2020-05-16,MI,,,,A+,5/16/2020 11:00,4880.0,55.0,0.0,0.0,425.0,425.0,76,,
528,2020-05-17,MI,,,,A+,5/16/2020 11:00,4891.0,11.0,0.0,38399.0,638.0,39037.0,77,,
472,2020-05-18,MI,,,,A+,5/18/2020 11:00,4915.0,24.0,0.0,12447.0,773.0,13220.0,78,,
416,2020-05-19,MI,,,,A+,5/19/2020 11:00,5017.0,102.0,0.0,12291.0,435.0,12726.0,79,,
360,2020-05-20,MI,,,,A+,5/20/2020 11:00,5060.0,43.0,0.0,13509.0,659.0,14168.0,80,,
304,2020-05-21,MI,,,,A+,5/21/2020 11:00,5129.0,69.0,0.0,17167.0,501.0,17668.0,81,,
248,2020-05-22,MI,,,,A+,5/22/2020 11:00,5158.0,29.0,0.0,16641.0,403.0,17044.0,82,,
192,2020-05-23,MI,,,,A+,5/22/2020 11:00,5223.0,65.0,0.0,-21318.0,452.0,-20866.0,83,,
136,2020-05-24,MI,,,,A+,5/24/2020 11:00,5228.0,5.0,0.0,0.0,314.0,314.0,84,,
80,2020-05-25,MI,,,,A+,5/25/2020 11:00,5240.0,12.0,0.0,21426.0,202.0,21628.0,85,,
24,2020-05-26,MI,,,,A+,5/26/2020 11:00,5266.0,26.0,0.0,11196.0,223.0,11419.0,86,,
