,date,key,cum_severe,cum_critical,cum_on_ventilator,dataQualityGrade,lastUpdateEt,death,new_deaths,new_severe,new_negatives,new_diagnoses,new_tests,day,new_critical,num_on_ventilator
4534,2020-03-05,NJ,,,,,,,,,,,,0,,
4506,2020-03-06,NJ,,,,,,,0,0,0,0,0,1,,
4466,2020-03-07,NJ,,,,,,,0,0,0,3,3,2,,
4416,2020-03-08,NJ,,,,,,,0,0,31,2,33,3,,
4366,2020-03-09,NJ,,,,,,,0,0,4,5,9,4,,
4316,2020-03-10,NJ,,,,,,,0,0,9,4,13,5,,
4266,2020-03-11,NJ,,,,,,1,1,0,13,9,22,6,,
4216,2020-03-12,NJ,,,,,3/11/2020 12:00,1,0,0,17,6,23,7,,
4165,2020-03-13,NJ,,,,,3/13/2020 14:00,1,0,0,23,20,43,8,,
4114,2020-03-14,NJ,,,,,3/13/2020 14:00,1,0,0,0,0,0,9,,
4063,2020-03-15,NJ,,,,,3/15/2020 13:00,2,1,0,23,48,71,10,,
4010,2020-03-16,NJ,,,,,3/16/2020 15:08,2,0,0,0,80,80,11,,
3954,2020-03-17,NJ,,,,,3/17/2020 13:00,3,1,0,43,89,132,12,,
3898,2020-03-18,NJ,,,,,3/17/2020 13:00,5,2,0,27,160,187,13,,
3842,2020-03-19,NJ,,,,,3/19/2020 11:30,9,4,0,20,315,335,14,,
3786,2020-03-20,NJ,,,,,3/20/2020 13:30,11,2,0,54,148,202,15,,
3730,2020-03-21,NJ,,,,,3/21/2020 13:00,16,5,0,30,437,467,16,,
3674,2020-03-22,NJ,,,,,3/22/2020 13:30,20,4,0,33,587,620,17,,
3618,2020-03-23,NJ,,,,B,3/23/2020 14:00,27,7,0,32,930,962,18,,
3562,2020-03-24,NJ,,,,B,3/24/2020 01:30,44,17,0,7966,831,8797,19,,
3506,2020-03-25,NJ,,,,B,3/24/2020 01:30,62,18,0,2127,727,2854,20,,
3450,2020-03-26,NJ,,,,B,3/25/2020 14:00,81,19,0,3209,2474,5683,21,,
