,date,key,cum_hospitalized,cum_icu,cum_on_ventilator,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,new_diagnoses,new_negatives,new_tests,new_deaths,new_hospitalized,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,day,new_icu,num_on_ventilator
6514,3/4/2020,NY,,,,,,,,,,,,14,0,0,0,0,0,0,0,0,0,0,,0,,
6496,3/5/2020,NY,,,,,,,,,,,,,16,28,44,0,0,0,0,0,0,0,,1,,
6469,3/6/2020,NY,,,,,,,,,,,,,11,16,27,0,0,0,0,0,0,0,,2,,
6429,3/7/2020,NY,,,,,,,,,,,,,43,0,43,0,0,0,0,0,0,0,,3,,
6379,3/8/2020,NY,,,,,,,,,,,,,29,0,29,0,0,0,0,0,0,0,,4,,
6329,3/9/2020,NY,,,,,,,,,,,,,37,0,37,0,0,0,0,0,0,0,,5,,
6279,3/10/2020,NY,,,,,,,,,,,,,31,0,31,0,0,0,0,0,0,0,,6,,
6229,3/11/2020,NY,,,,,,,,,,,,,43,0,43,0,0,0,0,0,0,0,,7,,
6179,3/12/2020,NY,,,,,3/11/2020 16:00,2020-03-11T16:00:00Z,3/11/2020 12:00,,,,,,0,0,0,0,0,0,0,0,0,0,,8,,
6128,3/13/2020,NY,,,,,3/12/2020 16:00,2020-03-12T16:00:00Z,3/12/2020 12:00,,,,,,205,2687,2892,0,0,0,0,0,0,0,,9,,
6077,3/14/2020,NY,,,,,3/14/2020 12:30,2020-03-14T12:30:00Z,3/14/2020 8:30,,,,,,103,0,103,0,0,0,0,0,0,0,,10,,
6026,3/15/2020,NY,,,,,3/15/2020 0:00,2020-03-15T00:00:00Z,3/14/2020 20:00,3,,,,,205,1764,1969,3,0,0,0,0,0,0,,11,,
5973,3/16/2020,NY,,,,,3/16/2020 16:22,2020-03-16T16:22:00Z,3/16/2020 12:22,7,,,,,221,0,221,4,0,0,0,0,0,0,,12,,
5917,3/17/2020,NY,,,,,3/16/2020 15:00,2020-03-16T15:00:00Z,3/16/2020 11:00,7,,,,,750,963,1713,0,0,0,0,0,0,0,,13,,
5861,3/18/2020,NY,,,,,3/18/2020 15:05,2020-03-18T15:05:00Z,3/18/2020 11:05,12,,,,,682,6709,7391,5,0,0,0,0,0,0,,14,,
5805,3/19/2020,NY,,,,,3/19/2020 13:20,2020-03-19T13:20:00Z,3/19/2020 9:20,12,,,,,1770,5917,7687,0,0,0,0,0,0,0,,15,,
5749,3/20/2020,NY,,,,,3/20/2020 13:20,2020-03-20T13:20:00Z,3/20/2020 9:20,35,,,,,2950,7193,10143,23,0,0,0,0,0,0,,16,,
5693,3/21/2020,NY,1531,,,,3/20/2020 21:22,2020-03-20T21:22:00Z,3/20/2020 17:22,44,,,,,3254,9756,13010,9,1531,0,0,0,0,0,,17,,
5637,3/22/2020,NY,2354,,,,3/22/2020 11:00,2020-03-22T11:00:00Z,3/22/2020 7:00,114,,,,,4812,11152,15964,70,823,0,0,0,0,0,,18,,
5581,3/23/2020,NY,3125,,,B,3/23/2020 11:36,2020-03-23T11:36:00Z,3/23/2020 7:36,114,,,,,5707,11181,16888,0,771,0,0,0,0,0,,19,,
5525,3/24/2020,NY,4041,,,B,3/24/2020 11:30,2020-03-24T11:30:00Z,3/24/2020 7:30,210,,,,,4790,8191,12981,96,916,0,0,0,0,0,,20,,
5469,3/25/2020,NY,5126,,,B,3/25/2020 11:45,2020-03-25T11:45:00Z,3/25/2020 7:45,285,,,,,5146,7063,12209,75,1085,0,0,0,0,0,,21,,
5413,3/26/2020,NY,6921,,,B,3/26/2020 16:59,2020-03-26T16:59:00Z,3/26/2020 12:59,385,,,,,6447,12178,18625,100,1795,0,0,0,0,0,,22,,
5357,3/27/2020,NY,8732,,,A,3/27/2020 11:15,2020-03-27T11:15:00Z,3/27/2020 7:15,519,,,,,7377,16272,23649,134,1811,0,0,0,0,0,,23,,
5301,3/28/2020,NY,10454,,,A,3/28/2020 13:15,2020-03-28T13:15:00Z,3/28/2020 9:15,728,,,,,7683,2498,10181,209,1722,0,0,0,0,0,,24,,
5245,3/29/2020,NY,12695,,,A,3/29/2020 9:16,2020-03-29T09:16:00Z,3/29/2020 5:16,965,,,,,7195,9231,16426,237,2241,0,0,0,0,0,,25,,
5189,3/30/2020,NY,14578,,,A,3/29/2020 9:16,2020-03-29T09:16:00Z,3/29/2020 5:16,1218,,,,,6984,7124,14108,253,1883,0,0,0,0,0,,26,,
5133,3/31/2020,NY,17085,,,A,3/29/2020 9:16,2020-03-29T09:16:00Z,3/29/2020 5:16,1550,,,,,9298,9420,18718,332,2507,0,0,0,0,0,,27,,
5077,4/1/2020,NY,19929,,,A,4/1/2020 12:00,2020-04-01T12:00:00Z,4/1/2020 8:00,1941,,,,,7917,7777,15694,391,2844,0,0,0,0,0,,28,,
5021,4/2/2020,NY,22786,,,A,4/2/2020 11:45,2020-04-02T11:45:00Z,4/2/2020 7:45,2373,,,,,8669,9416,18085,432,2857,0,0,0,0,0,,29,,
4965,4/3/2020,NY,26210,,,A,4/3/2020 11:00,2020-04-03T11:00:00Z,4/3/2020 7:00,2935,,,,,10482,11073,21555,562,3424,0,0,0,0,0,,30,,
4909,4/4/2020,NY,29471,,,A,4/3/2020 11:00,2020-04-03T11:00:00Z,4/3/2020 7:00,3565,,,,,10841,12260,23101,630,3261,0,0,0,0,0,,31,,
4853,4/5/2020,NY,32293,,,A,4/4/2020 0:00,2020-04-04T00:00:00Z,4/3/2020 20:00,4159,,,,,8327,10332,18659,594,2822,0,0,0,0,0,,32,,
4797,4/6/2020,NY,34377,,,A,4/6/2020 0:00,2020-04-06T00:00:00Z,4/5/2020 20:00,4758,,,,,8658,9873,18531,599,2084,0,0,0,0,0,,33,,
4741,4/7/2020,NY,36932,,,A,4/6/2020 0:00,2020-04-06T00:00:00Z,4/5/2020 20:00,5489,,,,,8174,11073,19247,731,2555,0,0,0,0,0,,34,,
4685,4/8/2020,NY,39982,,,A,4/7/2020 0:00,2020-04-07T00:00:00Z,4/6/2020 20:00,6268,,,,,10453,14642,25095,779,3050,0,0,0,0,0,,35,,
4629,4/9/2020,NY,42852,,,A,4/9/2020 0:00,2020-04-09T00:00:00Z,4/8/2020 20:00,7067,,,,,10621,15775,26396,799,2870,0,0,0,0,0,,36,,
4573,4/10/2020,NY,45768,,,A,4/10/2020 0:00,2020-04-10T00:00:00Z,4/9/2020 20:00,7844,,,,,10575,15761,26336,777,2916,0,0,0,0,0,,37,,
4517,4/11/2020,NY,48297,,,A,4/11/2020 0:00,2020-04-11T00:00:00Z,4/10/2020 20:00,8627,,,,,9946,13149,23095,783,2529,0,0,0,0,0,,38,,
4461,4/12/2020,NY,50919,,,A,4/12/2020 0:00,2020-04-12T00:00:00Z,4/11/2020 20:00,9385,,,,,8236,12385,20621,758,2622,0,0,0,0,0,,39,,
4405,4/13/2020,NY,52936,,,A,4/13/2020 0:00,2020-04-13T00:00:00Z,4/12/2020 20:00,10056,,,,,6337,10419,16756,671,2017,0,0,0,0,0,,40,,
4349,4/14/2020,NY,54653,,,A,4/14/2020 0:00,2020-04-14T00:00:00Z,4/13/2020 20:00,10834,,,,,7177,13609,20786,778,1717,0,0,0,0,0,,41,,
4293,4/15/2020,NY,56968,,,A,4/15/2020 0:00,2020-04-15T00:00:00Z,4/14/2020 20:00,11586,,,,,11571,15298,26869,752,2315,0,0,0,0,0,,42,,
4237,4/16/2020,NY,59052,,,A,4/16/2020 0:00,2020-04-16T00:00:00Z,4/15/2020 20:00,12192,,,,,8505,16062,24567,606,2084,0,0,0,0,0,,43,,
4181,4/17/2020,NY,61120,,,A,4/17/2020 14:00,2020-04-17T14:00:00Z,4/17/2020 10:00,12822,,,,,7358,15286,22644,630,2068,0,0,0,0,0,,44,,
4125,4/18/2020,NY,63103,,,A,4/18/2020 0:00,2020-04-18T00:00:00Z,4/17/2020 20:00,13362,,,,,7090,16219,23309,540,1983,0,0,0,0,0,,45,,
4069,4/19/2020,NY,64550,,,A,4/19/2020 0:00,2020-04-19T00:00:00Z,4/18/2020 20:00,13869,,,,,6054,14969,21023,507,1447,0,0,0,0,0,,46,,
4013,4/20/2020,NY,65969,,,A,4/20/2020 0:00,2020-04-20T00:00:00Z,4/19/2020 20:00,14347,,,,,4726,11580,16306,478,1419,0,0,0,0,0,,47,,
3957,4/21/2020,NY,67271,,,A,4/21/2020 0:00,2020-04-21T00:00:00Z,4/20/2020 20:00,14828,,,,,4178,11286,15464,481,1302,0,0,0,0,0,,48,,
3901,4/22/2020,NY,68773,,,A,4/22/2020 0:00,2020-04-22T00:00:00Z,4/21/2020 20:00,15302,,,,,5526,15131,20657,474,1502,0,0,0,0,0,,49,,
3845,4/23/2020,NY,70182,,,A,4/23/2020 0:00,2020-04-23T00:00:00Z,4/22/2020 20:00,15740,,,,,6244,19694,25938,438,1409,0,0,0,0,0,,50,,
3789,4/24/2020,NY,71373,,,A,4/24/2020 0:00,2020-04-24T00:00:00Z,4/23/2020 20:00,16162,,,,,8130,26606,34736,422,1191,0,0,0,0,0,,51,,
3733,4/25/2020,NY,72444,,,B,4/25/2020 0:00,2020-04-25T00:00:00Z,4/24/2020 20:00,16599,,,,,10553,36359,46912,437,1071,0,0,0,0,0,,52,,
3677,4/26/2020,NY,73540,,,B,4/26/2020 0:00,2020-04-26T00:00:00Z,4/25/2020 20:00,16966,,,,,5902,21880,27782,367,1096,0,0,0,0,0,,53,,
3621,4/27/2020,NY,74602,,,B,4/27/2020 0:00,2020-04-27T00:00:00Z,4/26/2020 20:00,17303,,,,,3951,16794,20745,337,1062,0,0,0,0,0,,54,,
