,date,key,cum_hospitalized,cum_icu,cum_on_ventilator,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,new_diagnoses,new_negatives,new_tests,new_deaths,new_hospitalized,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,day,new_icu,num_on_ventilator
6164,2020-03-12,MA,,,,,3/11/2020 00:00,2020-03-11T00:00:00Z,03/10 20:00,,,,,,0,0,0,0,0,0,0,0,0,0,,0,,
6113,2020-03-13,MA,,,,,3/13/2020 16:00,2020-03-13T16:00:00Z,03/13 12:00,,,,,,15,0,15,0,0,0,0,0,0,0,,1,,
6062,2020-03-14,MA,,,,,3/14/2020 16:00,2020-03-14T16:00:00Z,03/14 12:00,,,,,,15,0,15,0,0,0,0,0,0,0,,2,,
6011,2020-03-15,MA,,,,,3/14/2020 16:00,2020-03-14T16:00:00Z,03/14 12:00,,,,,,26,584,610,0,0,0,0,0,0,0,,3,,
5957,2020-03-16,MA,,,,,3/16/2020 15:48,2020-03-16T15:48:00Z,03/16 11:48,,,,,,33,615,648,0,0,0,0,0,0,0,,4,,
5901,2020-03-17,MA,,,,,3/16/2020 16:00,2020-03-16T16:00:00Z,03/16 12:00,,,,,,21,434,455,0,0,0,0,0,0,0,,5,,
5845,2020-03-18,MA,,,,,3/18/2020 16:00,2020-03-18T16:00:00Z,03/18 12:00,2.0,,,,,38,482,520,2,0,0,0,0,0,0,,6,,
5789,2020-03-19,MA,,,,,3/19/2020 11:30,2020-03-19T11:30:00Z,03/19 07:30,3.0,,,,,73,803,876,1,0,0,0,0,0,0,,7,,
5733,2020-03-20,MA,,,,,3/20/2020 16:00,2020-03-20T16:00:00Z,03/20 12:00,5.0,,,,,85,877,962,2,0,0,0,0,0,0,,8,,
5677,2020-03-21,MA,61.0,,,,3/21/2020 16:00,2020-03-21T16:00:00Z,03/21 12:00,7.0,,,,,112,1004,1116,2,61,0,0,0,0,0,,9,,
5621,2020-03-22,MA,71.0,,,,3/22/2020 16:00,2020-03-22T16:00:00Z,03/22 12:00,11.0,,,,,121,677,798,4,10,0,0,0,0,0,,10,,
5565,2020-03-23,MA,79.0,,,B,3/23/2020 12:30,2020-03-23T12:30:00Z,03/23 08:30,17.0,,,,,131,2787,2918,6,8,0,0,0,0,0,,11,,
5509,2020-03-24,MA,94.0,,,B,3/24/2020 12:30,2020-03-24T12:30:00Z,03/24 08:30,26.0,,,,,382,4451,4833,9,15,0,0,0,0,0,,12,,
5453,2020-03-25,MA,103.0,,,B,3/25/2020 16:00,2020-03-25T16:00:00Z,03/25 12:00,33.0,,,,,679,5365,6044,7,9,0,0,0,0,0,,13,,
5397,2020-03-26,MA,219.0,,,B,3/26/2020 12:30,2020-03-26T12:30:00Z,03/26 08:30,42.0,,,,,579,3248,3827,9,116,0,0,0,0,0,,14,,
5341,2020-03-27,MA,219.0,,,B,3/27/2020 12:30,2020-03-27T12:30:00Z,03/27 08:30,57.0,,,,,833,4917,5750,15,0,0,0,0,0,0,,15,,
5285,2020-03-28,MA,350.0,,,B,3/27/2020 12:30,2020-03-27T12:30:00Z,03/27 08:30,72.0,,,,,1007,4671,5678,15,131,0,0,0,0,0,,16,,
5229,2020-03-29,MA,399.0,,,B,3/28/2020 12:30,2020-03-28T12:30:00Z,03/28 08:30,99.0,,,,,698,3319,4017,27,49,0,0,0,0,0,,17,,
5173,2020-03-30,MA,453.0,,,B,3/30/2020 16:15,2020-03-30T16:15:00Z,03/30 12:15,124.0,,,,,797,2932,3729,25,54,0,0,0,0,0,,18,,
5117,2020-03-31,MA,562.0,,,B,3/31/2020 12:30,2020-03-31T12:30:00Z,03/31 08:30,153.0,,,,,868,3274,4142,29,109,0,0,0,0,0,,19,,
5061,2020-04-01,MA,682.0,,,B,3/31/2020 12:30,2020-03-31T12:30:00Z,03/31 08:30,187.0,,,,,1118,3685,4803,34,120,0,0,0,0,0,,20,,
5005,2020-04-02,MA,813.0,,,B,4/2/2020 16:00,2020-04-02T16:00:00Z,04/02 12:00,229.0,,,,,1228,3642,4870,42,131,0,0,0,0,0,,21,,
4949,2020-04-03,MA,966.0,,,B,4/3/2020 12:30,2020-04-03T12:30:00Z,04/03 08:30,265.0,,,,,1436,4918,6354,36,153,0,0,0,0,0,,22,,
4893,2020-04-04,MA,1370.0,,,B,4/4/2020 12:30,2020-04-04T12:30:00Z,04/04 08:30,304.0,,,,,1334,4506,5840,39,404,0,0,0,0,0,,23,,
4837,2020-04-05,MA,1632.0,,,B,4/5/2020 12:30,2020-04-05T12:30:00Z,04/05 08:30,370.0,,,,,765,2374,3139,66,262,0,0,0,0,0,,24,,
4781,2020-04-06,MA,1667.0,,,B,4/6/2020 12:30,2020-04-06T12:30:00Z,04/06 08:30,448.0,,,,,1337,3155,4492,78,35,0,0,0,0,0,,25,,
4725,2020-04-07,MA,1831.0,,,B,4/7/2020 12:30,2020-04-07T12:30:00Z,04/07 08:30,515.0,,,,,1365,3550,4915,67,164,0,0,0,0,0,,26,,
4669,2020-04-08,MA,2119.0,,,B,4/8/2020 12:30,2020-04-08T12:30:00Z,04/08 08:30,615.0,,,,,1588,4579,6167,100,288,0,0,0,0,0,,27,,
4613,2020-04-09,MA,2302.0,,,B,4/9/2020 12:30,2020-04-09T12:30:00Z,04/09 08:30,725.0,,,,,2151,5297,7448,110,183,0,0,0,0,0,,28,,
4557,2020-04-10,MA,2435.0,,,B,4/10/2020 12:30,2020-04-10T12:30:00Z,04/10 08:30,832.0,,,,,2035,5418,7453,107,133,0,0,0,0,0,,29,,
4501,2020-04-11,MA,2507.0,,,B,4/11/2020 12:30,2020-04-11T12:30:00Z,04/11 08:30,946.0,,,,,1888,4551,6439,114,72,0,0,0,0,0,,30,,
4445,2020-04-12,MA,2514.0,,,B,4/12/2020 16:00,2020-04-12T16:00:00Z,04/12 12:00,1056.0,,,,,2615,5348,7963,110,7,0,0,0,0,0,,31,,
4389,2020-04-13,MA,3485.0,,,B,4/13/2020 10:00,2020-04-13T10:00:00Z,04/13 06:00,1211.0,,,,,1413,4037,5450,155,971,0,0,0,0,0,,32,,
4333,2020-04-14,MA,3616.0,,,B,4/14/2020 10:00,2020-04-14T10:00:00Z,04/14 06:00,1329.0,,,,,1315,3320,4635,118,131,0,0,0,0,0,,33,,
4277,2020-04-15,MA,3637.0,,,B,4/15/2020 10:00,2020-04-15T10:00:00Z,04/15 06:00,1502.0,,,,,1861,3970,5831,173,21,0,0,0,0,0,,34,,
4221,2020-04-16,MA,3726.0,,,B,4/16/2020 10:00,2020-04-16T10:00:00Z,04/16 06:00,1667.0,,,,,2522,7308,9830,165,89,0,0,0,0,0,,35,,
4165,2020-04-17,MA,3756.0,,,B,4/16/2020 10:00,2020-04-16T10:00:00Z,04/16 06:00,1822.0,,,,,2633,7097,9730,155,30,0,0,0,0,0,,36,,
4109,2020-04-18,MA,3728.0,,,B,4/17/2020 16:00,2020-04-17T16:00:00Z,04/17 12:00,1983.0,,,,,2402,7409,9811,161,-28,0,0,0,0,0,,37,,
4053,2020-04-19,MA,3789.0,,,B,4/19/2020 16:00,2020-04-19T16:00:00Z,04/19 12:00,2146.0,,,,,2293,4691,6984,163,61,0,0,0,0,0,,38,,
3997,2020-04-20,MA,3872.0,,,B,4/19/2020 16:00,2020-04-19T16:00:00Z,04/19 12:00,2303.0,,,,,1596,6751,8347,157,83,0,0,0,0,0,,39,,
3941,2020-04-21,MA,4009.0,,,B,4/21/2020 16:00,2020-04-21T16:00:00Z,04/21 12:00,2449.0,,,,,1752,5398,7150,146,137,0,0,0,0,0,,40,,
3885,2020-04-22,MA,4256.0,,,B,4/22/2020 16:00,2020-04-22T16:00:00Z,04/22 12:00,2597.0,,,,,1745,3345,5090,148,247,0,0,0,0,0,,41,,
3829,2020-04-23,MA,4493.0,,,B,4/22/2020 16:00,2020-04-22T16:00:00Z,04/22 12:00,2769.0,,,,,3079,11535,14614,172,237,0,0,0,0,0,,42,,
3773,2020-04-24,MA,4752.0,,,B,4/24/2020 12:00,2020-04-24T12:00:00Z,04/24 08:00,2877.0,,,,,2977,7920,10897,108,259,0,0,0,0,0,,43,,
3717,2020-04-25,MA,4965.0,,,B,4/25/2020 16:00,2020-04-25T16:00:00Z,04/25 12:00,2877.0,,,,,2379,9253,11632,0,213,0,0,0,0,0,,44,,
3661,2020-04-26,MA,5104.0,,,B,4/26/2020 16:00,2020-04-26T16:00:00Z,04/26 12:00,2899.0,,,,,1590,7665,9255,22,139,0,0,0,0,0,,45,,
3605,2020-04-27,MA,5237.0,,,B,4/27/2020 16:00,2020-04-27T16:00:00Z,04/27 12:00,3003.0,,,,,1524,7263,8787,104,133,0,0,0,0,0,,46,,
3549,2020-04-28,MA,5515.0,,,B,4/28/2020 16:00,2020-04-28T16:00:00Z,04/28 12:00,3153.0,,,,,1840,7773,9613,150,278,0,0,0,0,0,,47,,
3493,2020-04-29,MA,5758.0,,,A,4/29/2020 16:00,2020-04-29T16:00:00Z,04/29 12:00,3405.0,,,,60265.0,1963,9155,11118,252,243,0,0,0,0,0,,48,,
3437,2020-04-30,MA,5942.0,,,A,4/30/2020 16:00,2020-04-30T16:00:00Z,04/30 12:00,3562.0,,,,62205.0,1940,8089,10029,157,184,0,0,0,0,0,,49,,
3381,2020-05-01,MA,6169.0,,,A,5/1/2020 12:00,2020-05-01T12:00:00Z,05/01 08:00,3716.0,,,,64311.0,2106,11883,13989,154,227,0,0,0,0,0,,50,,
3325,2020-05-02,MA,6378.0,,,A,5/2/2020 12:00,2020-05-02T12:00:00Z,05/02 08:00,3846.0,,,,66263.0,1952,7406,9358,130,209,0,0,0,0,0,,51,,
3269,2020-05-03,MA,6507.0,,,A,5/3/2020 16:00,2020-05-03T16:00:00Z,05/03 12:00,4004.0,,,,68087.0,1824,13828,15652,158,129,0,0,0,0,0,,52,,
3213,2020-05-04,MA,6622.0,,,A,5/4/2020 12:00,2020-05-04T12:00:00Z,05/04 08:00,4090.0,,,,69087.0,1000,8622,9622,86,115,0,0,0,0,0,,53,,
3157,2020-05-05,MA,6831.0,,,A,5/5/2020 12:00,2020-05-05T12:00:00Z,05/05 08:00,4212.0,,,,70271.0,1184,7897,9081,122,209,0,0,0,0,0,,54,,
3101,2020-05-06,MA,7080.0,,,A,5/6/2020 12:00,2020-05-06T12:00:00Z,05/06 08:00,4420.0,,,,72025.0,1754,4536,6290,208,249,0,0,0,0,0,,55,,
3045,2020-05-07,MA,7237.0,,,A,5/7/2020 12:00,2020-05-07T12:00:00Z,05/07 08:00,4552.0,,,,73721.0,1696,10297,11993,132,157,0,0,0,0,0,,56,,
2989,2020-05-08,MA,7434.0,,,A,5/8/2020 10:00,2020-05-08T10:00:00Z,05/08 06:00,4702.0,,,,75333.0,1612,12779,14391,150,197,0,0,0,0,0,,57,,
2933,2020-05-09,MA,7551.0,,,A,5/9/2020 12:00,2020-05-09T12:00:00Z,05/09 08:00,4840.0,,,,76743.0,1410,9104,10514,138,117,0,0,0,0,0,,58,,
2877,2020-05-10,MA,7617.0,,,A,5/10/2020 10:00,2020-05-10T10:00:00Z,05/10 06:00,4979.0,,,,77793.0,1050,10802,11852,139,66,0,0,0,0,0,,59,,
2821,2020-05-11,MA,7732.0,,,A,5/11/2020 10:00,2020-05-11T10:00:00Z,05/11 06:00,5108.0,,,,78462.0,669,5670,6339,129,115,0,0,0,0,0,,60,,
2765,2020-05-12,MA,7842.0,,,A+,5/12/2020 10:00,2020-05-12T10:00:00Z,05/12 06:00,5141.0,,,,79332.0,870,5898,6768,33,110,0,0,0,0,0,,61,,
2709,2020-05-13,MA,8032.0,,,A+,5/13/2020 10:00,2020-05-13T10:00:00Z,05/13 06:00,5315.0,,,,80497.0,1165,7371,8536,174,190,0,0,0,0,0,,62,,
2653,2020-05-14,MA,8207.0,,,A+,5/13/2020 10:00,2020-05-13T10:00:00Z,05/13 06:00,5482.0,,,,82182.0,1685,12644,14329,167,175,0,0,0,0,0,,63,,
2597,2020-05-15,MA,8314.0,,,A+,5/14/2020 10:00,2020-05-14T10:00:00Z,05/14 06:00,5592.0,,,,83421.0,1239,10079,11318,110,107,0,0,0,0,0,,64,,
2541,2020-05-16,MA,8456.0,,,A+,5/16/2020 10:00,2020-05-16T10:00:00Z,05/16 06:00,5705.0,,,,84933.0,1512,10898,12410,113,142,0,0,0,0,0,,65,,
2485,2020-05-17,MA,8539.0,,,A+,5/17/2020 10:00,2020-05-17T10:00:00Z,05/17 06:00,5797.0,,,,86010.0,1077,11660,12737,92,83,0,0,0,0,0,,66,,
2429,2020-05-18,MA,8621.0,,,A+,5/17/2020 10:00,2020-05-17T10:00:00Z,05/17 06:00,5862.0,,,,87052.0,1042,7331,8373,65,82,0,0,0,0,0,,67,,
2373,2020-05-19,MA,8766.0,,,A+,5/19/2020 10:00,2020-05-19T10:00:00Z,05/19 06:00,5938.0,,,,87925.0,873,6868,7741,76,145,0,0,0,0,0,,68,,
2317,2020-05-20,MA,8897.0,,,A,5/20/2020 10:00,2020-05-20T10:00:00Z,05/20 06:00,6066.0,,,,88970.0,1045,11968,13013,128,131,0,0,0,0,0,,69,,
2261,2020-05-21,MA,9040.0,,,A,5/21/2020 10:00,2020-05-21T10:00:00Z,05/21 06:00,6148.0,,,,90084.0,1114,10419,11533,82,143,0,0,0,0,0,,70,,
2205,2020-05-22,MA,9162.0,,,A,5/22/2020 10:00,2020-05-22T10:00:00Z,05/22 06:00,6228.0,,,,90889.0,805,9353,10158,80,122,0,0,0,0,0,,71,,
2149,2020-05-23,MA,9260.0,,,A,5/23/2020 10:00,2020-05-23T10:00:00Z,05/23 06:00,6304.0,,,,91662.0,773,8569,9342,76,98,0,0,0,0,0,,72,,
2093,2020-05-24,MA,9308.0,,,A,5/24/2020 10:00,2020-05-24T10:00:00Z,05/24 06:00,6372.0,,,,92675.0,1013,10374,11387,68,48,0,0,0,0,0,,73,,
2037,2020-05-25,MA,9339.0,,,A,5/25/2020 10:00,2020-05-25T10:00:00Z,05/25 06:00,6416.0,,,,93271.0,596,7592,8188,44,31,0,0,0,0,0,,74,,
