,date,key,cum_hospitalized,cum_icu,cum_on_ventilator,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,new_diagnoses,new_negatives,new_tests,new_deaths,new_hospitalized,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,day,new_icu,num_on_ventilator
6527,2020-03-01,MI,,,,,,,,,,,,14.0,0,0,0,0,0,0,0,0,0,0,,0,,
6524,2020-03-02,MI,,,,,,,,,,,,27.0,9,0,9,0,0,0,0,0,0,0,,1,,
6521,2020-03-03,MI,,,,,,,,,,,,50.0,16,0,16,0,0,0,0,0,0,0,,2,,
6511,2020-03-04,MI,,,,,,,,,,,,74.0,18,0,18,0,0,0,0,0,0,0,,3,,
6490,2020-03-05,MI,,,,,,,,,,,,100.0,20,8,28,0,0,0,0,0,0,0,,4,,
6461,2020-03-06,MI,,,,,,,,,,,,140.0,26,0,26,0,0,0,0,0,0,0,,5,,
6417,2020-03-07,MI,,,,,,,,,,,,188.0,30,10,40,0,0,0,0,0,0,0,,6,,
6367,2020-03-08,MI,,,,,,,,,,,,251.0,40,8,48,0,0,0,0,0,0,0,,7,,
6317,2020-03-09,MI,,,,,,,,,,,,372.0,86,10,96,0,0,0,0,0,0,0,,8,,
6267,2020-03-10,MI,,,,,,,,,,,,528.0,104,3,107,0,0,0,0,0,0,0,,9,,
6217,2020-03-11,MI,,,,,,,,,,,,727.0,139,18,157,0,0,0,0,0,0,0,,10,,
6167,2020-03-12,MI,,,,,3/11/2020 19:00,2020-03-11T19:00:00Z,03/11 15:00,,,,,996.0,205,34,239,0,0,0,0,0,0,0,,11,,
6116,2020-03-13,MI,,,,,3/13/2020 00:00,2020-03-13T00:00:00Z,03/12 20:00,,,,,1353.0,243,42,285,0,0,0,0,0,0,0,,12,,
6065,2020-03-14,MI,,,,,3/13/2020 00:00,2020-03-13T00:00:00Z,03/12 20:00,,,,,1717.0,251,72,323,0,0,0,0,0,0,0,,13,,
