,date,key,cum_hospitalized,cum_icu,cum_on_ventilator,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,new_diagnoses,new_negatives,new_tests,new_deaths,new_hospitalized,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,day,new_icu,num_on_ventilator
6494,2020-03-05,NJ,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,,
6466,2020-03-06,NJ,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1,,
6426,2020-03-07,NJ,,,,,,,,,,,,,3,0,3,0,0,0,0,0,0,0,,2,,
6376,2020-03-08,NJ,,,,,,,,,,,,,2,31,33,0,0,0,0,0,0,0,,3,,
6326,2020-03-09,NJ,,,,,,,,,,,,,5,4,9,0,0,0,0,0,0,0,,4,,
6276,2020-03-10,NJ,,,,,,,,,,,,,4,9,13,0,0,0,0,0,0,0,,5,,
6226,2020-03-11,NJ,,,,,,,,1.0,,,,,9,13,22,1,0,0,0,0,0,0,,6,,
6176,2020-03-12,NJ,,,,,3/11/2020 12:00,2020-03-11T12:00:00Z,03/11 08:00,1.0,,,,,6,17,23,0,0,0,0,0,0,0,,7,,
6125,2020-03-13,NJ,,,,,3/13/2020 14:00,2020-03-13T14:00:00Z,03/13 10:00,1.0,,,,,20,23,43,0,0,0,0,0,0,0,,8,,
6074,2020-03-14,NJ,,,,,3/13/2020 14:00,2020-03-13T14:00:00Z,03/13 10:00,1.0,,,,,0,0,0,0,0,0,0,0,0,0,,9,,
6023,2020-03-15,NJ,,,,,3/15/2020 13:00,2020-03-15T13:00:00Z,03/15 09:00,2.0,,,,,48,23,71,1,0,0,0,0,0,0,,10,,
5970,2020-03-16,NJ,,,,,3/16/2020 15:08,2020-03-16T15:08:00Z,03/16 11:08,2.0,,,,,80,0,80,0,0,0,0,0,0,0,,11,,
5914,2020-03-17,NJ,,,,,3/17/2020 13:00,2020-03-17T13:00:00Z,03/17 09:00,3.0,,,,,89,43,132,1,0,0,0,0,0,0,,12,,
5858,2020-03-18,NJ,,,,,3/17/2020 13:00,2020-03-17T13:00:00Z,03/17 09:00,5.0,,,,,160,27,187,2,0,0,0,0,0,0,,13,,
5802,2020-03-19,NJ,,,,,3/19/2020 11:30,2020-03-19T11:30:00Z,03/19 07:30,9.0,,,,,315,20,335,4,0,0,0,0,0,0,,14,,
5746,2020-03-20,NJ,,,,,3/20/2020 13:30,2020-03-20T13:30:00Z,03/20 09:30,11.0,,,,,148,54,202,2,0,0,0,0,0,0,,15,,
5690,2020-03-21,NJ,,,,,3/21/2020 13:00,2020-03-21T13:00:00Z,03/21 09:00,16.0,,,,,437,30,467,5,0,0,0,0,0,0,,16,,
5634,2020-03-22,NJ,,,,,3/22/2020 13:30,2020-03-22T13:30:00Z,03/22 09:30,20.0,,,,,587,33,620,4,0,0,0,0,0,0,,17,,
5578,2020-03-23,NJ,,,,B,3/23/2020 14:00,2020-03-23T14:00:00Z,03/23 10:00,27.0,,,,,930,32,962,7,0,0,0,0,0,0,,18,,
