,date,key,cum_hospitalized,cum_icu,cum_on_ventilator,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,new_diagnoses,new_negatives,new_tests,new_deaths,new_hospitalized,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,day,new_icu,num_on_ventilator
6514,2020-03-04,NY,,,,,,,,,,,,14.0,0,0,0,0,0,0,0,0,0,0,,0,,
6496,2020-03-05,NY,,,,,,,,,,,,,16,28,44,0,0,0,0,0,0,0,,1,,
6469,2020-03-06,NY,,,,,,,,,,,,,11,16,27,0,0,0,0,0,0,0,,2,,
6429,2020-03-07,NY,,,,,,,,,,,,,43,0,43,0,0,0,0,0,0,0,,3,,
6379,2020-03-08,NY,,,,,,,,,,,,,29,0,29,0,0,0,0,0,0,0,,4,,
6329,2020-03-09,NY,,,,,,,,,,,,,37,0,37,0,0,0,0,0,0,0,,5,,
6279,2020-03-10,NY,,,,,,,,,,,,,31,0,31,0,0,0,0,0,0,0,,6,,
6229,2020-03-11,NY,,,,,,,,,,,,,43,0,43,0,0,0,0,0,0,0,,7,,
6179,2020-03-12,NY,,,,,3/11/2020 16:00,2020-03-11T16:00:00Z,03/11 12:00,,,,,,0,0,0,0,0,0,0,0,0,0,,8,,
6128,2020-03-13,NY,,,,,3/12/2020 16:00,2020-03-12T16:00:00Z,03/12 12:00,,,,,,205,2687,2892,0,0,0,0,0,0,0,,9,,
6077,2020-03-14,NY,,,,,3/14/2020 12:30,2020-03-14T12:30:00Z,03/14 08:30,,,,,,103,0,103,0,0,0,0,0,0,0,,10,,
6026,2020-03-15,NY,,,,,3/15/2020 00:00,2020-03-15T00:00:00Z,03/14 20:00,3.0,,,,,205,1764,1969,3,0,0,0,0,0,0,,11,,
5973,2020-03-16,NY,,,,,3/16/2020 16:22,2020-03-16T16:22:00Z,03/16 12:22,7.0,,,,,221,0,221,4,0,0,0,0,0,0,,12,,
5917,2020-03-17,NY,,,,,3/16/2020 15:00,2020-03-16T15:00:00Z,03/16 11:00,7.0,,,,,750,963,1713,0,0,0,0,0,0,0,,13,,
5861,2020-03-18,NY,,,,,3/18/2020 15:05,2020-03-18T15:05:00Z,03/18 11:05,12.0,,,,,682,6709,7391,5,0,0,0,0,0,0,,14,,
5805,2020-03-19,NY,,,,,3/19/2020 13:20,2020-03-19T13:20:00Z,03/19 09:20,12.0,,,,,1770,5917,7687,0,0,0,0,0,0,0,,15,,
5749,2020-03-20,NY,,,,,3/20/2020 13:20,2020-03-20T13:20:00Z,03/20 09:20,35.0,,,,,2950,7193,10143,23,0,0,0,0,0,0,,16,,
5693,2020-03-21,NY,1531.0,,,,3/20/2020 21:22,2020-03-20T21:22:00Z,03/20 17:22,44.0,,,,,3254,9756,13010,9,1531,0,0,0,0,0,,17,,
5637,2020-03-22,NY,2354.0,,,,3/22/2020 11:00,2020-03-22T11:00:00Z,03/22 07:00,114.0,,,,,4812,11152,15964,70,823,0,0,0,0,0,,18,,
5581,2020-03-23,NY,3125.0,,,B,3/23/2020 11:36,2020-03-23T11:36:00Z,03/23 07:36,114.0,,,,,5707,11181,16888,0,771,0,0,0,0,0,,19,,
5525,2020-03-24,NY,4041.0,,,B,3/24/2020 11:30,2020-03-24T11:30:00Z,03/24 07:30,210.0,,,,,4790,8191,12981,96,916,0,0,0,0,0,,20,,
5469,2020-03-25,NY,5126.0,,,B,3/25/2020 11:45,2020-03-25T11:45:00Z,03/25 07:45,285.0,,,,,5146,7063,12209,75,1085,0,0,0,0,0,,21,,
5413,2020-03-26,NY,6921.0,,,B,3/26/2020 16:59,2020-03-26T16:59:00Z,03/26 12:59,385.0,,,,,6447,12178,18625,100,1795,0,0,0,0,0,,22,,
