,date,key,cum_severe,cum_critical,cum_on_ventilator,dataQualityGrade,lastUpdateEt,death,new_deaths,new_severe,new_negatives,new_diagnoses,new_tests,day,new_critical,num_on_ventilator
4567,2020-03-01,MI,,,,,,,,,,,,0,,
4564,2020-03-02,MI,,,,,,,0,0,0,9,9,1,,
4561,2020-03-03,MI,,,,,,,0,0,0,16,16,2,,
4551,2020-03-04,MI,,,,,,,0,0,0,18,18,3,,
4530,2020-03-05,MI,,,,,,,0,0,8,20,28,4,,
4501,2020-03-06,MI,,,,,,,0,0,0,26,26,5,,
4457,2020-03-07,MI,,,,,,,0,0,10,30,40,6,,
4407,2020-03-08,MI,,,,,,,0,0,8,40,48,7,,
4357,2020-03-09,MI,,,,,,,0,0,10,86,96,8,,
4307,2020-03-10,MI,,,,,,,0,0,3,104,107,9,,
4257,2020-03-11,MI,,,,,,,0,0,18,139,157,10,,
4207,2020-03-12,MI,,,,,3/11/2020 19:00,,0,0,34,205,239,11,,
4156,2020-03-13,MI,,,,,3/13/2020 00:00,,0,0,42,243,285,12,,
4105,2020-03-14,MI,,,,,3/13/2020 00:00,,0,0,72,251,323,13,,
4054,2020-03-15,MI,,,,,3/14/2020 00:00,,0,0,0,284,284,14,,
4000,2020-03-16,MI,,,,,3/16/2020 15:52,,0,0,67,453,520,15,,
3944,2020-03-17,MI,,,,,3/17/2020 14:00,,0,0,354,460,814,16,,
3888,2020-03-18,MI,,,,,3/18/2020 14:00,,0,0,589,520,1109,17,,
3832,2020-03-19,MI,,,,,3/19/2020 15:00,3,3,0,570,479,1049,18,,
3776,2020-03-20,MI,,,,,3/20/2020 15:00,3,0,0,961,635,1596,19,,
3720,2020-03-21,MI,,,,,3/21/2020 13:44,5,2,0,950,516,1466,20,,
3664,2020-03-22,MI,,,,,3/22/2020 15:00,8,3,0,16,555,571,21,,
3608,2020-03-23,MI,,,,D,3/23/2020 11:00,15,7,0,985,691,1676,22,,
3552,2020-03-24,MI,,,,D,3/24/2020 11:00,24,9,0,1099,652,1751,23,,
3496,2020-03-25,MI,,,,D,3/25/2020 15:00,43,19,0,1741,619,2360,24,,
3440,2020-03-26,MI,,,,D,3/26/2020 11:00,60,17,0,2768,707,3475,25,,
3384,2020-03-27,MI,,,,B,3/27/2020 11:00,92,32,0,2334,892,3226,26,,
3328,2020-03-28,MI,,,,B,3/27/2020 16:00,92,0,0,1544,628,2172,27,,
3272,2020-03-29,MI,,,,B,3/28/2020 14:00,132,40,0,1493,723,2216,28,,
3216,2020-03-30,MI,,,,B,3/30/2020 16:00,184,52,0,5507,891,6398,29,,
3160,2020-03-31,MI,,,,B,3/31/2020 11:00,259,75,0,2796,974,3770,30,,
3104,2020-04-01,MI,,,,B,4/1/2020 16:00,337,78,0,3258,1013,4271,31,,
3048,2020-04-02,MI,,,,B,4/2/2020 11:00,417,80,0,3131,1229,4360,32,,
2992,2020-04-03,MI,,,,B,4/3/2020 11:00,479,62,0,3302,1135,4437,33,,
2936,2020-04-04,MI,,,,B,4/4/2020 11:00,540,61,0,3735,1143,4878,34,,
2880,2020-04-05,MI,,,,B,4/5/2020 11:00,617,77,0,2926,1172,4098,35,,
2824,2020-04-06,MI,,,,B,4/6/2020 11:00,727,110,0,2789,1283,4072,36,,
2768,2020-04-07,MI,,,,B,4/7/2020 11:00,845,118,0,2430,973,3403,37,,
2712,2020-04-08,MI,,,,B,4/8/2020 11:00,959,114,0,0,766,766,38,,
2656,2020-04-09,MI,,,,B,4/9/2020 11:00,1076,117,0,0,915,915,39,,
2600,2020-04-10,MI,,,,B,4/10/2020 11:00,1281,205,0,3711,1279,4990,40,,
2544,2020-04-11,MI,,,,B,4/11/2020 11:00,1392,111,0,2760,1210,3970,41,,
2488,2020-04-12,MI,,,,B,4/12/2020 11:00,1487,95,0,2778,645,3423,42,,
2432,2020-04-13,MI,,,,B,4/13/2020 11:00,1602,115,0,2210,997,3207,43,,
2376,2020-04-14,MI,,,,B,4/14/2020 11:00,1768,166,0,2216,1366,3582,44,,
2320,2020-04-15,MI,,,,B,4/15/2020 11:00,1921,153,0,2413,1058,3471,45,,
2264,2020-04-16,MI,,,,B,4/16/2020 11:00,2093,172,0,3385,1204,4589,46,,
2208,2020-04-17,MI,,,,B,4/17/2020 11:00,2227,134,0,3913,760,4673,47,,
2152,2020-04-18,MI,,,,B,4/18/2020 11:00,2308,81,0,0,768,768,48,,
2096,2020-04-19,MI,,,,B,4/19/2020 11:00,2391,83,0,9301,633,9934,49,,
2040,2020-04-20,MI,,,,B,4/20/2020 11:00,2468,77,0,3561,576,4137,50,,
1984,2020-04-21,MI,,,,B,4/21/2020 11:00,2700,232,0,2461,967,3428,51,,
1928,2020-04-22,MI,,,,B,4/22/2020 11:00,2813,113,0,0,999,999,52,,
1872,2020-04-23,MI,,,,B,4/23/2020 16:00,2977,164,0,8771,1325,10096,53,,
